,zipcode,category,name,rating,review
215,15037,American,Wagner's Restaurant,4.0,15
216,15037,American,Molnar's Lounge,4.0,1
217,15037,American,Rockwell's Red Lion Restaurant,4.0,27
218,15037,American,Rock Run Inn,4.5,6
219,15037,American,Bar 48 & Grille,4.0,4
220,15037,American,The Rib Crib,3.5,6
221,15037,American,Sunset Room,4.0,1
222,15037,American,Becky's Place,4.0,13
223,15037,American,Driscoll & Sons Cafe,3.0,42
224,15037,American,club 139,5.0,1
225,15037,American,R-Place Restaurant,3.0,4
226,15037,Bar,Bar 48 & Grille,4.0,4
227,15037,Bar,club 139,5.0,1
228,15037,Bar,The Rib Crib,3.5,6
229,15037,Bar,The Kickstand,1.0,6
230,15037,Bar,Cross Creek Inn,3.0,7
231,15037,Grocery,Decarlo's Fruit Market,5.0,7
232,15037,Grocery,Giant Eagle,3.5,3
233,15332,American,Hunting Lodge II,3.5,7
234,15332,American,Coconut Joe's Tiki Bar,2.0,2
235,15332,Bar,Roy's By the Tracks,4.0,1
236,15332,Bar,Coconut Joe's Tiki Bar,2.0,2
237,15332,Bar,Dennys Roadhouse,1.0,1
238,15332,Grocery,Trax Farms,3.5,41
239,15332,Grocery,Herman Farm Market,4.0,1
240,15044,American,Cala Lily Restaurant And Bar,4.0,37
241,15044,American,Barrel Junction,4.0,69
242,15044,American,Kings,2.5,13
243,15044,American,Applebee's Grill + Bar,2.5,12
244,15044,American,Atria's Restaurant & Tavern,2.5,26
245,15044,American,Buffalo Wild Wings,3.5,28
246,15044,American,Willee's Tavern,3.5,17
247,15044,American,The Clubhouse Gibsonia,3.0,55
248,15044,American,Eat'n Park,3.5,19
249,15044,American,Wendy's,1.0,1
250,15044,American,Pines Tavern,3.0,52
251,15044,Asian,Lin's Garden,4.0,35
252,15044,Bar,Barrel Junction,4.0,69
253,15044,Bar,Stack'd Burgers - Hampton,3.5,16
254,15044,Bar,Willee's Tavern,3.5,17
255,15044,Bar,Gateway Inn,4.0,1
256,15044,Bar,Steamworks Creative,5.0,4
257,15044,Bar,Applebee's Grill + Bar,2.5,12
258,15044,Bar,The Clubhouse Gibsonia,3.0,55
259,15044,Bar,Buffalo Wild Wings,3.5,28
260,15044,Bar,Pines Tavern,3.0,52
261,15044,Bar,Emiliano's Mexican Restaurant,3.5,71
262,15044,Grocery,Wagner's Market,5.0,3
263,15044,Grocery,Giant Eagle,3.5,4
264,15044,Grocery,Giant Eagle,1.5,4
265,15044,Grocery,Walmart,3.0,6
266,15044,Grocery,Harvest Valley Farms,5.0,5
267,15044,Grocery,GetGo Fuel Station,3.5,7
268,15044,Grocery,Shop N Save,3.5,5
269,15044,Grocery,Wine and Spirits,3.0,3
270,15045,American,Glassport Diner,4.0,6
271,15116,American,Hartwood Restaurant & Whispers Pub,4.5,69
272,15116,American,Middle Road Inn,3.5,40
273,15116,American,Cole Cafe,3.5,39
274,15116,American,Gator's Grille formerly JD's Pub,3.5,37
275,15116,American,The 412 Bar & Grill,2.5,6
276,15116,Asian,Le Thai Café,4.5,92
277,15116,Bar,Hartwood Restaurant & Whispers Pub,4.5,69
278,15116,Bar,Gator's Grille formerly JD's Pub,3.5,37
279,15116,Grocery,Giant Eagle,3.5,8
280,15120,American,Dorothy 6 Blast Furnace Cafe,4.0,157
281,15120,American,Honest John's Bar & Restaurant,4.5,84
282,15120,American,Duke's Upper Deck Cafe,4.0,59
283,15120,American,Enix Brewing,4.5,19
284,15120,American,Lapko's Bar & Grill,3.5,5
285,15120,American,Falce's Restaurant,4.0,15
286,15120,American,Rock Bottom Restaurant & Brewery,3.0,228
287,15120,American,Steak ’n Shake,2.0,103
288,15120,American,Primanti Bros,3.0,44
289,15120,American,Burgatory,4.0,319
290,15120,American,Uno Pizzeria & Grill,3.0,73
291,15120,American,Red Robin Gourmet Burgers,2.5,111
292,15120,American,TGI Fridays,2.5,47
293,15120,American,LongHorn Steakhouse,3.0,94
294,15120,American,Dave & Buster's,2.5,177
295,15120,American,Eat'n Park,3.0,70
296,15120,American,Bar Louie,3.0,126
297,15120,American,Yokoso Japanese Steakhouse,3.0,164
298,15120,Asian,Me Lyng Restaurant,3.5,47
299,15120,Asian,P.F. Chang's,3.0,149
300,15120,Asian,Yokoso Japanese Steakhouse,3.0,164
301,15120,Bar,Voodoo Brewery - Homestead,4.5,97
302,15120,Bar,Eighth & Hays,4.5,87
303,15120,Bar,Honest John's Bar & Restaurant,4.5,84
304,15120,Bar,Blue Dust,4.0,162
305,15120,Bar,Dorothy 6 Blast Furnace Cafe,4.0,157
306,15120,Bar,Duke's Upper Deck Cafe,4.0,59
307,15120,Bar,Lapko's Bar & Grill,3.5,5
308,15120,Bar,Bar Louie,3.0,126
309,15120,Bar,Wolf's Pub,4.5,5
310,15120,Bar,Burgatory,4.0,319
311,15120,Bar,Chic's Place,3.5,2
312,15120,Bar,Pido's Pub,4.0,8
313,15120,Bar,Pisci's,3.5,5
314,15120,Bar,J & L's Double Headers,4.0,2
315,15120,Bar,Draft House,4.5,3
316,15120,Bar,Sing Sing Dueling Piano Bar,3.5,42
317,15120,Bar,Primanti Bros,3.0,44
318,15120,Bar,Dave & Buster's,2.5,177
319,15120,Bar,Randy's Beer Barrel Pub,2.5,2
320,15120,Bar,Carnegie Library Music Hall,3.5,33
321,15120,Bar,Hotel Parry,2.5,2
322,15120,Grocery,Giant Eagle,3.5,43
323,15120,Grocery,ALDI,3.5,7
324,15120,Grocery,Fine Wine & Good Spirits - Premium Collection,4.5,9
325,15126,American,Cole's Pub,4.0,37
326,15126,American,Celebrations Bar Banquet and Grill,3.5,5
327,15126,American,Garden of Eating Pizzeria,4.0,22
328,15126,Asian,Asian Bistro,5.0,1
329,15126,Bar,Cole's Pub,4.0,37
330,15126,Grocery,Fine Wine & Good Spirits,1.0,1
331,15642,American,Emidio's Bistro,5.0,1
332,15642,American,The Firepit Wood Fired Grill,3.5,89
333,15642,American,Atria's - Norwin,4.0,17
334,15642,American,The Brick House Tap & Grill,3.0,41
335,15642,American,Colonial Grille,4.0,33
336,15642,American,Rodney's Restaurant,4.0,31
337,15642,American,Applebee's Grill + Bar,3.0,28
338,15642,American,Jacktown Ride & Hunt Club,4.0,8
339,15642,American,Bob Evans,2.5,12
340,15642,American,Eat'n Park Restaurants,3.5,17
341,15642,American,Shenanigans Sports Bar & Grille,2.5,37
342,15642,American,Denny's,3.5,7
343,15642,American,Wendy's,2.0,6
344,15642,American,Atami Japan,4.0,26
345,15642,American,K-Vay's Restaurant,3.5,21
346,15642,American,Liz's Catering & Restaurant,5.0,1
347,15642,American,Burger King,1.5,4
348,15642,American,Fury Brewing,4.0,11
349,15642,Asian,Yummy Palace,4.0,51
350,15642,Asian,China Garden,4.5,21
351,15642,Bar,Korner Tavern,5.0,1
352,15642,Bar,Shenanigans Sports Bar & Grille,2.5,37
353,15642,Bar,The Brick House Tap & Grill,3.0,41
354,15642,Bar,Dal Forno,4.5,30
355,15642,Bar,Norwin Bowl,4.0,3
356,15642,Bar,Woody's Piazza Bar,3.5,12
357,15642,Bar,Applebee's Grill + Bar,3.0,28
358,15642,Grocery,Ross's SHOP 'n SAVE,2.5,7
359,15642,Grocery,Giant Eagle,3.5,11
360,15642,Grocery,Aldi,4.0,2
361,15642,Grocery,Walmart Supercenter,3.0,12
362,15642,Grocery,Korner Store,4.0,1
363,15642,Grocery,Rite Aid,4.0,2
364,15642,Grocery,Spee-D Mart,5.0,1
365,15056,American,Mike's Place,4.0,14
366,15056,Asian,Asian Star,4.0,14
367,15056,Bar,Marroni's Lounge,5.0,5
368,15056,Bar,Mike's Place,4.0,14
369,15056,Grocery,Giant Eagle,1.5,6
370,15056,Grocery,Giant Eagle,1.0,2
371,16046,American,Hines Ward's Tavern 86,3.5,196
372,16046,American,Springfield Grille,4.0,113
373,16046,American,Breakneck Tavern,4.0,151
374,16046,American,Ember & Vine,4.0,48
375,16046,American,Jimmy's Strip District Grill,3.5,13
376,16046,American,Max & Erma's,3.5,51
377,16046,American,Pig Iron Public House,3.5,271
378,16046,American,Mamma's Place,2.0,6
379,16046,American,Eat'n Park,3.0,30
380,16046,American,Bob Evans,3.5,19
381,16046,Asian,Yama Sushi,4.5,66
382,16046,Asian,China House,3.0,4
383,16046,Bar,Breakneck Tavern,4.0,151
384,16046,Bar,Pig Iron Public House,3.5,271
385,16046,Bar,Ember & Vine,4.0,48
386,16046,Bar,Vines by Hines Ward,3.0,16
387,16046,Bar,Legend's Pub,2.5,4
388,16046,Grocery,Giant Eagle,2.5,9
389,16046,Grocery,PA Wine & Spirits Store,2.0,2
390,15057,American,Liz' Corner Kitchen,4.5,2
391,15057,American,Michael's Tavern,1.0,1
392,15057,American,North Star Restaurant,4.0,11
393,15057,Bar,Fort Cherry Golf Club,2.5,3
394,15057,Grocery,Giant Eagle,2.0,4
395,15057,Grocery,Bedner's Farm & Greenhouse,4.5,6
396,15057,Grocery,Brown's Orchard,5.0,1
397,15136,American,Bobby D's Burgers & Barbecue,4.5,44
398,15136,American,Downey's House,4.0,86
399,15136,American,Rockefeller's Grille,4.0,34
400,15136,American,Abjuration Brewing,5.0,3
401,15136,American,Walnut Grill - Robinson,3.0,80
402,15136,American,The Dead Horse Cantina & Music Hall,4.0,2
403,15136,American,Mickey's Place,2.5,2
404,15136,American,Rocks Landing Bar & Grille,4.0,8
405,15136,Asian,Hunan Wok,2.0,7
406,15136,Latin,Cocina Latina,4.5,23
407,15136,Bar,Bobby D's Burgers & Barbecue,4.5,44
408,15136,Bar,Take A Break Bar,4.0,23
409,15136,Bar,Rudy's Bar,4.5,5
410,15136,Bar,The Dead Horse Cantina & Music Hall,4.0,2
411,15136,Bar,Rocks Landing Bar & Grille,4.0,8
412,15136,Bar,Norwood Inn,5.0,1
413,15136,Bar,Angelias Italian Grille,4.0,12
414,15136,Grocery,Giant Eagle,3.0,9
415,15136,Grocery,Shop N'save,1.0,1
416,15136,Grocery,Ricci Italian Sausage,4.0,4
417,15131,American,Wendy's,2.0,5
418,15131,American,Jac's Cafe,3.0,11
419,15131,American,Veltre's Pizza of White Oak,4.0,23
420,15131,Bar,Twin Oaks Lounge,3.0,29
421,15131,Bar,The Rose Bar & Grille,2.5,6
422,15131,Grocery,Giant Eagle,3.5,3
423,15131,Grocery,Scozio's Family Supermarkets & Pastry Shoppes,3.0,1
424,15132,American,Puzzlers Restaurant & Lounge,3.0,10
425,15132,American,Mellon's Pub,4.0,2
426,15132,American,Eat'n Park,1.0,1
427,15132,American,Scotty's Ice Cream Delights,5.0,1
428,15132,American,American Recovery Corporation,1.0,2
429,15132,Bar,Mellon's Pub,4.0,2
430,15132,Bar,The Roo Bar & Grill,3.5,4
431,15132,Bar,Tillie's Restaurant & Chantillie Lounge,4.0,68
432,15132,Bar,Cal's Cantina,3.0,3
433,15132,Grocery,Shop N Save-Olympia,1.0,1
434,15133,American,Liberty Boro Sandwich Factory,4.0,3
435,15133,American,Annie's Hitching Post,5.0,1
436,15133,Bar,Annie's Hitching Post,5.0,1
437,15133,Bar,Port Vue Pub,4.0,1
438,15135,American,Rich's Parkside Den,5.0,4
439,15135,American,Boston Waterfront Restaurant & Lounge,2.5,7
440,15135,Bar,Boston Waterfront Restaurant & Lounge,2.5,7
