,zipcode,category,count,average_rating,average_review_count
535,15223,Latin,0,,
536,15223,Indian,0,,
537,15223,Bar,0,,
538,15223,Grocery,0,,
539,15224,All Restaurants,0,,
540,15224,American,0,,
541,15224,Asian,0,,
542,15224,Latin,0,,
543,15224,Indian,0,,
544,15224,Bar,0,,
545,15224,Grocery,0,,
546,15225,All Restaurants,0,,
547,15225,American,0,,
548,15225,Asian,0,,
549,15225,Latin,0,,
550,15225,Indian,0,,
551,15225,Bar,0,,
552,15225,Grocery,0,,
553,15226,All Restaurants,0,,
554,15226,American,0,,
555,15226,Asian,0,,
556,15226,Latin,0,,
557,15226,Indian,0,,
558,15226,Bar,0,,
559,15226,Grocery,0,,
560,15227,All Restaurants,0,,
561,15227,American,0,,
562,15227,Asian,0,,
563,15227,Latin,0,,
564,15227,Indian,0,,
565,15227,Bar,0,,
566,15227,Grocery,0,,
567,15228,All Restaurants,0,,
568,15228,American,0,,
569,15228,Asian,0,,
570,15228,Latin,0,,
571,15228,Indian,0,,
572,15228,Bar,0,,
573,15228,Grocery,0,,
574,15229,All Restaurants,0,,
575,15229,American,0,,
576,15229,Asian,0,,
577,15229,Latin,0,,
578,15229,Indian,0,,
579,15229,Bar,0,,
580,15229,Grocery,0,,
581,15232,All Restaurants,0,,
582,15232,American,0,,
583,15232,Asian,0,,
584,15232,Latin,0,,
585,15232,Indian,0,,
586,15232,Bar,0,,
587,15232,Grocery,0,,
588,15233,All Restaurants,0,,
589,15233,American,0,,
590,15233,Asian,0,,
591,15233,Latin,0,,
592,15233,Indian,0,,
593,15233,Bar,0,,
594,15233,Grocery,0,,
595,15234,All Restaurants,0,,
596,15234,American,0,,
597,15234,Asian,0,,
598,15234,Latin,0,,
599,15234,Indian,0,,
600,15234,Bar,0,,
601,15234,Grocery,0,,
602,15235,All Restaurants,0,,
603,15235,American,0,,
604,15235,Asian,0,,
605,15235,Latin,0,,
606,15235,Indian,0,,
607,15235,Bar,0,,
608,15235,Grocery,0,,
609,15236,All Restaurants,0,,
610,15236,American,0,,
611,15236,Asian,0,,
612,15236,Latin,0,,
613,15236,Indian,0,,
614,15236,Bar,0,,
615,15236,Grocery,0,,
616,15237,All Restaurants,0,,
617,15237,American,0,,
618,15237,Asian,0,,
619,15237,Latin,0,,
620,15237,Indian,0,,
621,15237,Bar,0,,
622,15237,Grocery,0,,
623,15238,All Restaurants,0,,
624,15238,American,0,,
625,15238,Asian,0,,
626,15238,Latin,0,,
627,15238,Indian,0,,
628,15238,Bar,0,,
629,15238,Grocery,0,,
630,15239,All Restaurants,0,,
631,15239,American,0,,
632,15239,Asian,0,,
633,15239,Latin,0,,
634,15239,Indian,0,,
635,15239,Bar,0,,
636,15239,Grocery,0,,
637,15241,All Restaurants,0,,
638,15241,American,0,,
639,15241,Asian,0,,
640,15241,Latin,0,,
641,15241,Indian,0,,
642,15241,Bar,0,,
643,15241,Grocery,0,,
644,15243,All Restaurants,0,,
645,15243,American,0,,
646,15243,Asian,0,,
647,15243,Latin,0,,
648,15243,Indian,0,,
649,15243,Bar,0,,
650,15243,Grocery,0,,
651,15260,All Restaurants,0,,
652,15260,American,0,,
653,15260,Asian,0,,
654,15260,Latin,0,,
655,15260,Indian,0,,
656,15260,Bar,0,,
657,15260,Grocery,0,,
658,15290,All Restaurants,0,,
659,15290,American,0,,
660,15290,Asian,0,,
661,15290,Latin,0,,
662,15290,Indian,0,,
663,15290,Bar,0,,
664,15290,Grocery,0,,
665,15142,All Restaurants,0,,
666,15142,American,0,,
667,15142,Asian,0,,
668,15142,Latin,0,,
669,15142,Indian,0,,
670,15142,Bar,0,,
671,15142,Grocery,0,,
672,15075,All Restaurants,0,,
673,15075,American,0,,
674,15075,Asian,0,,
675,15075,Latin,0,,
676,15075,Indian,0,,
677,15075,Bar,0,,
678,15075,Grocery,0,,
679,15076,All Restaurants,0,,
680,15076,American,0,,
681,15076,Asian,0,,
682,15076,Latin,0,,
683,15076,Indian,0,,
684,15076,Bar,0,,
685,15076,Grocery,0,,
