RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,seasAdj
71905,32259,Florida,1011,19,5,19,19,8,8,9,13,4,6,13,7,14,4,3,17,12,14,13,13,12,7,2,3,5,7,10,14,0,11,10,10,8,12,11,2,19,14,14,10,4,11,5,6,5,11,4,5,12,13,14,10,8,15,7,6,11,6,18,9,11,14,15,19,16,17,5,16,9,10,9,8,13,11,17,19,22,22,16,15,18,6,14,7,18,21,21,23,34,28,24,19,11,11,12,11,24,18,25,32,23,30,26,16,15,21,16,12,15,28,36,33,31,27,19,30,32,33,25,18,24,22,32,24,28,34,27,0
61186,08816,New Jersey,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,9,10,13,10,15,13,12,20,22,20,22,11,10,13,6,9,4,11,14,10,19,33,33,13,12,17,14,12,13,20,10,13,12,26,29,22,22,19,20,5,11,22,22,24,28,36,37,16,9,36,27,13,14,13,13,23,41,40,37,25,26,24,28,26,25,33,22,30,36,37,41,33,24,35,31,18,18,22,26,41,49,58,37,54,28,40,39,25,36,34,41,38,67,56,,0
72429,33126,Florida,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,12,12,20,11,21,19,21,19,23,21,27,22,16,24,29,17,28,22,15,26,22,23,26,21,17,19,23,23,22,14,23,18,25,17,13,18,29,24,16,14,29,15,13,20,26,21,24,25,23,24,18,15,12,9,15,8,17,18,14,24,20,8,12,8,15,18,6,25,13,12,23,20,12,,0
72912,33919,Florida,1014,10,21,20,12,14,19,17,19,12,13,9,24,32,25,30,34,24,31,25,27,24,35,26,29,44,49,44,33,36,28,35,22,18,34,29,22,38,46,32,32,27,28,21,27,25,28,27,33,39,48,27,41,31,34,32,40,28,34,42,39,46,65,59,49,35,42,36,34,22,53,27,23,58,48,41,47,57,47,40,41,36,56,39,58,45,56,71,64,53,39,58,44,43,36,33,41,59,40,41,37,37,46,17,29,32,27,30,20,39,48,38,48,26,29,28,28,26,31,27,25,37,46,46,37,29,34,,0
96510,91770,California,1015,3,7,6,11,5,8,6,9,4,4,5,4,6,6,13,9,13,12,11,12,6,9,8,10,9,7,15,13,8,13,11,11,9,15,11,10,9,6,4,12,8,9,6,11,8,5,8,7,12,14,8,11,11,10,4,15,10,15,8,12,12,11,15,9,11,13,12,10,7,9,15,9,17,13,7,12,7,8,10,7,9,11,8,10,15,12,4,21,16,19,17,13,9,16,10,11,6,11,9,10,21,8,16,12,10,6,3,6,9,7,13,10,18,24,15,12,11,13,6,7,8,10,10,14,14,8,7,0
70819,30034,Georgia,1016,1,12,6,2,3,5,6,4,5,2,4,3,6,2,1,3,5,3,4,7,9,8,5,2,5,7,7,4,5,3,9,14,11,2,2,1,2,2,3,1,3,16,16,16,13,10,17,11,17,19,23,50,21,18,20,14,14,12,18,14,12,13,14,18,10,21,19,9,11,9,9,8,15,15,8,14,20,16,9,10,13,9,9,9,6,5,7,5,8,8,9,10,13,7,11,11,12,13,14,16,19,12,13,16,19,13,8,14,18,12,9,38,19,12,15,13,19,13,11,9,18,19,10,21,28,27,,0
91191,76017,Texas,1017,16,18,27,21,21,25,19,20,8,13,11,11,15,14,10,23,31,23,28,23,19,8,6,9,20,28,25,24,17,14,12,8,9,10,5,7,10,11,14,16,21,15,17,14,12,16,8,7,19,14,16,27,18,24,20,14,11,15,17,15,7,23,30,27,34,27,19,25,13,30,9,14,26,44,29,30,36,38,24,44,28,24,13,20,30,34,25,45,47,37,30,43,18,37,24,21,30,37,45,45,45,36,40,40,32,39,36,25,31,27,44,41,49,36,43,32,27,26,19,22,18,36,35,28,43,37,36,0
96028,90047,California,1018,1,1,3,2,0,3,0,1,1,1,1,0,1,1,1,1,0,0,1,2,0,0,1,1,2,2,0,2,1,1,1,2,0,1,2,2,2,1,0,3,4,1,1,2,4,2,1,1,2,4,0,1,2,2,0,0,4,1,0,0,1,0,1,0,2,4,2,0,0,0,0,0,0,2,2,0,1,1,1,0,1,1,2,0,0,0,2,0,2,3,0,1,0,3,2,3,0,6,2,4,9,4,9,0,2,2,4,2,6,4,6,9,8,11,6,5,5,4,8,9,8,7,8,14,9,10,7,0
95984,90003,California,1019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,2,1,0,4,0,0,1,3,0,1,3,1,0,1,3,2,1,2,3,5,5,11,2,4,7,7,3,2,6,4,2,4,3,8,3,0
66243,20148,Virginia,1020,17,11,15,16,17,10,19,9,6,7,5,6,9,10,12,12,11,9,16,16,11,10,6,12,20,9,19,14,7,11,11,9,9,16,5,7,9,9,12,12,8,10,4,10,5,12,3,6,7,18,17,16,20,16,13,18,12,10,13,9,22,12,34,21,19,20,16,14,12,13,7,13,15,16,18,25,21,26,9,14,4,14,7,13,29,24,23,22,30,19,22,11,16,20,15,25,24,33,33,39,30,42,18,36,27,20,14,12,30,35,32,42,43,36,27,21,16,23,18,18,35,31,42,53,52,32,31,0
70708,29803,South Carolina,1021,23,17,22,24,29,23,28,15,6,13,5,12,23,18,22,18,16,35,25,15,21,18,10,12,25,18,24,29,20,19,16,12,15,20,11,10,14,9,16,12,12,17,12,9,12,11,8,11,17,10,18,11,23,12,14,11,14,14,10,10,19,20,21,11,24,32,22,21,11,35,15,6,21,21,21,27,41,24,14,26,10,26,19,14,19,22,22,35,47,39,25,24,18,31,16,16,38,25,32,36,34,28,36,28,23,35,19,18,29,39,49,32,31,41,31,39,24,46,29,26,30,39,40,38,46,41,,0
67609,23234,Virginia,1022,17,14,8,4,12,14,5,14,4,6,4,7,4,10,7,11,16,8,11,14,12,10,5,0,11,10,11,8,2,7,8,5,6,8,3,2,5,6,12,8,3,7,11,11,6,8,6,13,3,9,11,8,12,13,8,9,7,12,8,8,11,10,5,10,7,11,12,17,5,12,9,7,13,4,22,12,9,8,12,7,6,10,9,5,9,11,11,17,18,13,14,13,8,12,6,10,15,11,19,13,19,21,11,9,11,15,6,5,9,6,18,15,16,18,7,13,10,19,10,13,14,15,19,21,17,29,,0
70855,30076,Georgia,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,28,41,42,20,32,25,23,16,18,17,13,16,21,23,16,16,15,29,20,18,20,15,16,16,25,17,20,12,21,,0
93201,80011,Colorado,1024,2,1,0,3,3,0,3,2,3,1,0,0,0,1,1,3,2,3,1,6,2,1,1,0,3,0,2,4,0,1,2,1,0,0,1,0,0,1,1,0,2,1,6,5,2,1,0,3,1,3,3,4,2,3,2,2,2,3,3,0,4,1,2,2,3,2,3,4,2,4,3,0,2,6,6,13,3,1,3,4,5,5,1,0,4,8,8,5,8,4,4,0,2,0,4,2,4,6,2,7,3,5,7,7,4,3,4,5,8,9,4,11,4,6,11,7,6,6,2,7,3,8,10,11,7,8,5,0
96185,90630,California,1025,10,18,10,20,16,12,14,9,15,13,9,11,18,11,17,17,20,25,19,17,18,14,10,15,18,19,23,25,21,23,23,12,15,14,19,16,26,14,18,15,16,25,13,17,18,20,7,15,19,24,26,20,20,23,23,29,21,25,18,24,31,17,38,31,34,24,22,22,17,21,14,9,28,23,15,22,24,22,17,17,19,17,15,14,23,22,24,33,25,27,29,19,14,26,18,19,20,21,38,36,26,33,22,24,22,18,17,16,27,21,26,43,24,22,26,25,17,15,19,15,27,19,30,29,27,21,11,0
70875,30097,Georgia,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,21,26,23,14,32,24,19,14,14,8,8,15,14,22,18,13,12,22,13,12,24,9,9,11,14,14,15,26,,,0
