"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"48328","MI","Detroit-Warren-Dearborn","Oakland","Waterford",3674,1271,-0.000786163522012579,-0.00858034321372855,-0.0230591852421214,1532
2018-09-30,"22206","VA","Washington-Arlington-Alexandria","Arlington","Arlington",3675,2234,-0.000894454382826476,0.000447828034034931,-0.0407900386431945,6251
2018-09-30,"32779","FL","Orlando-Kissimmee-Sanford","Seminole","Longwood",3676,1292,0,0.000774593338497289,0.00155038759689922,2184
2018-09-30,"21601","MD","Easton","Talbot","Easton",3677,1415,0.00212464589235127,-0.00701754385964912,-0.041976980365606,273
2018-09-30,"48150","MI","Detroit-Warren-Dearborn","Wayne","Livonia",3678,1105,0,0.00821167883211679,0.00545950864422202,737
2018-09-30,"76710","TX","Waco","McLennan","Waco",3679,990,0,0,0.0291060291060291,489
2018-09-30,"99337","WA","Kennewick-Richland","Benton","Kennewick",3680,1299,0,0,0.000770416024653313,328
2018-09-30,"06705","CT","New Haven-Milford","New Haven","Waterbury",3681,1041,-0.000959692898272553,0,-0.000959692898272553,3238
2018-09-30,"36605","AL","Mobile","Mobile","Mobile",3682,740,-0.00134952766531714,-0.00269541778975741,-0.0668348045397226,103
2018-09-30,"37388","TN","Tullahoma-Manchester","Coffee","Tullahoma",3683,849,0,-0.00817757009345794,-0.0482062780269058,362
2018-09-30,"49418","MI","Grand Rapids-Wyoming","Kent","Grandville",3684,1445,-0.00138217000691085,-0.00413507925568573,0.0403167746580274,1538
2018-09-30,"32129","FL","Deltona-Daytona Beach-Ormond Beach","Volusia","Port Orange",3685,949,0,0,0,340
2018-09-30,"67037","KS","Wichita","Sedgwick","Derby",3686,1137,-0.00175592625109745,-0.00611888111888112,-0.0445378151260504,666
2018-09-30,"93215","CA","Bakersfield","Kern","Delano",3687,961,-0.00207684319833853,-0.0113168724279835,-0.0678952473326867,519
2018-09-30,"53227","WI","Milwaukee-Waukesha-West Allis","Milwaukee","West Allis",3688,988,0,0.00202839756592292,-0.0275590551181102,509
2018-09-30,"61109","IL","Rockford","Winnebago","Rockford",3689,756,0.00132450331125828,0.00398406374501992,-0.0181818181818182,514
2018-09-30,"33019","FL","Miami-Fort Lauderdale-West Palm Beach","Broward","Hollywood",3690,1752,-0.000570450656018254,0.00114285714285714,0.0174216027874564,14291
2018-09-30,"46229","IN","Indianapolis-Carmel-Anderson","Marion","Indianapolis",3691,840,0.00238663484486874,0.00840336134453781,0.00119189511323004,630
2018-09-30,"36609","AL","Mobile","Mobile","Mobile",3692,849,0,0,-0.0263761467889908,163
2018-09-30,"59404","MT","Great Falls","Cascade","Great Falls",3693,1240,0.00161550888529887,0.00404858299595142,-0.0111642743221691,457
2018-09-30,"33510","FL","Tampa-St. Petersburg-Clearwater","Hillsborough","Brandon",3694,1145,0,0.00174978127734033,0.0043859649122807,1265
2018-09-30,"32789","FL","Orlando-Kissimmee-Sanford","Orange","Winter Park",3695,1498,0.000668002672010688,0.00943396226415094,0.0323914541695383,2411
2018-09-30,"76012","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",3696,1228,-0.00081366965012205,-0.00243704305442729,-0.00647249190938511,1346
2018-09-30,"55811","MN","Duluth","Saint Louis","Duluth",3697,1305,0.00307455803228286,0.00230414746543779,0.0147744945567652,517
2018-09-30,"29909","SC","Hilton Head Island-Bluffton-Beaufort","Beaufort","Okatie",3698,1491,-0.000670241286863271,-0.00200803212851406,0.0198358413132695,671
2018-09-30,"54911","WI","Appleton","Outagamie","Appleton",3699,994,0.00100704934541793,0.00607287449392712,0.0397489539748954,456
2018-09-30,"33701","FL","Tampa-St. Petersburg-Clearwater","Pinellas","Saint Petersburg",3700,1553,-0.0019280205655527,-0.000643500643500643,0.0346435709526982,4585
2018-09-30,"60048","IL","Chicago-Naperville-Elgin","Lake","Libertyville",3701,1753,0,0,-0.0168255748738082,1615
2018-09-30,"92663","CA","Los Angeles-Long Beach-Anaheim","Orange","Newport Beach",3702,3334,-0.00179640718562874,-0.00239377618192699,-0.0350217076700434,4149
2018-09-30,"22405","VA","Washington-Arlington-Alexandria","Spotsylvania","Fredericksburg",3703,1301,0,-0.00535168195718654,-0.0412675018422992,1180
2018-09-30,"39211","MS","Jackson","Hinds","Jackson",3704,1141,0,0.00087719298245614,0.0214861235452104,542
2018-09-30,"31707","GA","Albany","Dougherty","Albany",3705,697,0,0,0.00868306801736614,456
2018-09-30,"28401","NC","Wilmington","New Hanover","Wilmington",3706,1156,-0.00172711571675302,-0.00857632933104631,0.0131463628396144,1641
2018-09-30,"11228","NY","New York-Newark-Jersey City","Kings","New York",3707,2141,-0.00139925373134328,-0.00557361820715281,-0.0429146177916853,5979
2018-09-30,"11735","NY","New York-Newark-Jersey City","Nassau","Farmingdale",3708,2499,0,-0.000799680127948821,-0.0366229760986893,1107
2018-09-30,"93305","CA","Bakersfield","Kern","Bakersfield",3709,795,-0.00125628140703518,-0.0037593984962406,-0.109742441209406,1750
2018-09-30,"31322","GA","Savannah","Chatham","Pooler",3710,1186,-0.0008424599831508,-0.00168350168350168,0.00253592561284869,882
2018-09-30,"32778","FL","Orlando-Kissimmee-Sanford","Lake","Tavares",3711,881,0.0080091533180778,0.0138089758342923,0.0304093567251462,1020
2018-09-30,"33712","FL","Tampa-St. Petersburg-Clearwater","Pinellas","Saint Petersburg",3712,1100,0,-0.000908265213442325,-0.0256864481842338,1092
2018-09-30,"55126","MN","Minneapolis-St. Paul-Bloomington","Ramsey","Shoreview",3713,1421,0.000704225352112676,0.00353107344632768,0.0179083094555874,2928
2018-09-30,"85353","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",3714,996,0,-0.00796812749003984,0.033195020746888,107
2018-09-30,"90302","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Inglewood",3715,2366,0.00467091295116773,0.0106791969243913,0.0432098765432099,2586
2018-09-30,"44136","OH","Cleveland-Elyria","Cuyahoga","Strongsville",3716,1140,0,0,-0.0104166666666667,443
2018-09-30,"77802","TX","College Station-Bryan","Brazos","Bryan",3717,1113,-0.000897666068222621,0.0018001800180018,-0.0380293863439931,1609
2018-09-30,"68137","NE","Omaha-Council Bluffs","Douglas","Omaha",3718,1192,0,-0.000838222967309304,-0.00666666666666667,738
2018-09-30,"15205","PA","Pittsburgh","Allegheny","Pittsburgh",3719,1101,0,-0.00271739130434783,0.0119485294117647,2159
2018-09-30,"46239","IN","Indianapolis-Carmel-Anderson","Marion","Indianapolis",3720,897,-0.00111358574610245,-0.0110253583241455,-0.0557894736842105,121
2018-09-30,"94597","CA","San Francisco-Oakland-Hayward","Contra Costa","Walnut Creek",3721,2508,0.00119760479041916,-0.000398565165404544,-0.0210772833723653,2395
2018-09-30,"33304","FL","Miami-Fort Lauderdale-West Palm Beach","Broward","Fort Lauderdale",3722,1658,-0.00180614087898856,-0.0042042042042042,0.0115924344112264,7869
2018-09-30,"90274","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Palos Verdes Estates",3723,3252,-0.000921658986175115,-0.00702290076335878,-0.0272210589291056,1469
