"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-09-30,59995,"05743","VT","Rutland","Rutland","Fair Haven",11535,139400,0.00868306801736614,0.0138181818181818,-0.00143266475644699,,,"2007-12","2007-Q4",143800,-0.0305980528511822,"2006-10"
2018-09-30,61213,"08853","NJ","New York-Newark-Jersey City","Somerset","Branchburg",11536,543000,-0.000184128153194623,-0.00293793609988983,0.0147635955896094,,,"2006-07","2006-Q3",615700,-0.118076985544908,"2004-10"
2018-09-30,81934,"54853","WI",,"Polk","Luck",11537,164900,0.00548780487804878,0.0364550597108737,0.0898876404494382,,,"2018-09","2018-Q3",164900,0,"2018-09"
2018-09-30,58352,"01370","MA","Greenfield Town","Franklin","Shelburne",11538,249300,-0.00359712230215827,-0.00795861520095503,0.0121802679658952,,,"2018-06","2018-Q2",251300,-0.00795861520095503,"2018-05"
2018-09-30,64112,"15461","PA","Pittsburgh","Fayette","Masontown",11539,73900,-0.0159786950732357,-0.0185922974767596,0.0788321167883212,,,"2018-07","2018-Q3",75400,-0.019893899204244,"2018-01"
2018-09-30,79354,"48744","MI",,"Tuscola","Mayville",11540,72500,0.00974930362116992,0.0182584269662921,0.139937106918239,,,"2003-03","2003-Q1",121200,-0.401815181518152,"1996-08"
2018-09-30,75499,"40051","KY","Bardstown","Nelson","New Haven",11541,129600,0.0101325019485581,0.0368,0.183561643835616,,,"2018-09","2018-Q3",129600,0,"2018-09"
2018-09-30,71937,"32328","FL",,"Franklin","Eastpoint",11542,477200,0.00930626057529611,0.0291136510675005,0.0882554161915621,,,"2005-11","2005-Q4",802700,-0.405506415846518,"2003-08"
2018-09-30,97356,"93609","CA","Fresno","Fresno","Caruthers",11543,175600,0.00400228702115495,0.0162037037037037,0.10440251572327,,,"2007-02","2007-Q1",233400,-0.24764353041988,"2005-04"
2018-09-30,70912,"30139","GA","Calhoun","Gordon","Fairmount",11544,141100,0.00785714285714286,0.0165706051873199,0.0912606341840681,,,"2018-09","2018-Q3",141100,0,"2018-09"
2018-09-30,63768,"14840","NY","Corning","Steuben","Wayne",11545,183500,0.00273224043715847,0.0222841225626741,0.0010911074740862,,,"2017-06","2017-Q2",187800,-0.0228966986155485,"2017-04"
2018-09-30,81120,"52776","IA","Muscatine","Muscatine","West Liberty",11546,155600,0.00128700128700129,0.00387096774193548,0.0556309362279511,,,"2018-09","2018-Q3",155600,0,"2018-09"
2018-09-30,70920,"30147","GA","Rome","Floyd","Lindale",11547,112000,0.0275229357798165,0.0842207163601162,0.281464530892448,,,"2018-09","2018-Q3",112000,0,"2018-09"
2018-09-30,94235,"83628","ID","Boise City","Owyhee","Homedale",11548,161600,0.017632241813602,0.0541422048271363,0.167630057803468,,,"2018-09","2018-Q3",161600,0,"2018-09"
2018-09-30,97199,"93270","CA","Visalia-Porterville","Tulare","Terra Bella",11549,185000,0.00927441352973268,0.0187224669603524,0.129426129426129,,,"2018-09","2018-Q3",185000,0,"2018-09"
2018-09-30,61014,"08223","NJ","Ocean City","Cape May","Upper",11550,285400,0.0106232294617564,0.0321880650994575,0.116151740320688,,,"2006-06","2006-Q2",326000,-0.124539877300613,"2005-02"
2018-09-30,78624,"47462","IN","Bedford","Lawrence","Springville",11551,113500,0.0133928571428571,0.0489833641404806,0.204883227176221,,,"2006-12","2006-Q4",115400,-0.0164644714038128,"2006-12"
