"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","87122","NM","Albuquerque, NM",8728,59,21.1180124223602,77,8,7.87292817679558
"Zip","87113","NM","Albuquerque, NM",9073,59,27.3504273504273,61.5,3.8,7.87292817679558
"Zip","87104","NM","Albuquerque, NM",9278,59,18.2795698924731,76.5,5.4,7.87292817679558
"Zip","87004","NM","Albuquerque, NM",10020,59,23.1884057971014,70,6.8,7.87292817679558
"Zip","87048","NM","Albuquerque, NM",10062,59,14.1414141414141,89,4.4,7.87292817679558
"Zip","87059","NM","Albuquerque, NM",10145,59,24.7058823529412,84.5,9.8,7.87292817679558
"Zip","87043","NM","Albuquerque, NM",10904,59,16.6666666666667,110,7.6,7.87292817679558
"Zip","87047","NM","Albuquerque, NM",10921,59,8.95522388059701,81.5,2.2,7.87292817679558
"Zip","18103","PA","Allentown-Bethlehem-Easton, PA-NJ",3110,67,14.7619047619048,64,0.294117647058824,8.7292817679558
"Zip","18104","PA","Allentown-Bethlehem-Easton, PA-NJ",3357,67,20.5882352941176,71.5,3.23529411764706,8.7292817679558
"Zip","18102","PA","Allentown-Bethlehem-Easton, PA-NJ",3542,67,17.6190476190476,76,2.64705882352941,8.7292817679558
"Zip","18042","PA","Allentown-Bethlehem-Easton, PA-NJ",3785,67,21.3483146067416,77,6.17647058823529,8.7292817679558
"Zip","18017","PA","Allentown-Bethlehem-Easton, PA-NJ",3873,67,25.9259259259259,70,5.88235294117647,8.7292817679558
"Zip","18018","PA","Allentown-Bethlehem-Easton, PA-NJ",4516,67,20.9459459459459,65,2.35294117647059,8.7292817679558
"Zip","07840","NJ","Allentown-Bethlehem-Easton, PA-NJ",5449,67,21.4285714285714,90,8.23529411764706,8.7292817679558
"Zip","08865","NJ","Allentown-Bethlehem-Easton, PA-NJ",5506,67,15.4385964912281,115,5,8.7292817679558
"Zip","18015","PA","Allentown-Bethlehem-Easton, PA-NJ",5773,67,23.9520958083832,74,7.64705882352941,8.7292817679558
"Zip","18052","PA","Allentown-Bethlehem-Easton, PA-NJ",5855,67,19.0909090909091,63,1.17647058823529,8.7292817679558
"Zip","18045","PA","Allentown-Bethlehem-Easton, PA-NJ",5975,67,22.5806451612903,69,5.29411764705882,8.7292817679558
"Zip","18064","PA","Allentown-Bethlehem-Easton, PA-NJ",6916,67,21.0526315789474,71,3.52941176470588,8.7292817679558
"Zip","18062","PA","Allentown-Bethlehem-Easton, PA-NJ",6927,67,19.047619047619,65,1.47058823529412,8.7292817679558
"Zip","18067","PA","Allentown-Bethlehem-Easton, PA-NJ",7939,67,18.0952380952381,64,0.882352941176471,8.7292817679558
"Zip","18235","PA","Allentown-Bethlehem-Easton, PA-NJ",8080,67,20.7692307692308,120.5,8.82352941176471,8.7292817679558
"Zip","18049","PA","Allentown-Bethlehem-Easton, PA-NJ",8156,67,30.4878048780488,72,7.94117647058824,8.7292817679558
"Zip","18020","PA","Allentown-Bethlehem-Easton, PA-NJ",8160,67,22.3404255319149,74,6.76470588235294,8.7292817679558
"Zip","18109","PA","Allentown-Bethlehem-Easton, PA-NJ",8403,67,17.2413793103448,63,0.588235294117647,8.7292817679558
"Zip","18013","PA","Allentown-Bethlehem-Easton, PA-NJ",8483,67,23.2258064516129,88.5,9.11764705882353,8.7292817679558
"Zip","18040","PA","Allentown-Bethlehem-Easton, PA-NJ",8979,67,20,73.5,3.97058823529412,8.7292817679558
"Zip","07882","NJ","Allentown-Bethlehem-Easton, PA-NJ",9236,67,21.3872832369942,104.5,9.41176470588235,8.7292817679558
"Zip","18036","PA","Allentown-Bethlehem-Easton, PA-NJ",9556,67,21.5686274509804,93,8.52941176470588,8.7292817679558
"Zip","18055","PA","Allentown-Bethlehem-Easton, PA-NJ",9668,67,22.0338983050847,72,5.58823529411765,8.7292817679558
"Zip","18080","PA","Allentown-Bethlehem-Easton, PA-NJ",9841,67,18.5185185185185,85,4.41176470588235,8.7292817679558
"Zip","18071","PA","Allentown-Bethlehem-Easton, PA-NJ",9978,67,12.7659574468085,82,2.05882352941176,8.7292817679558
"Zip","18031","PA","Allentown-Bethlehem-Easton, PA-NJ",10186,67,19.5121951219512,73,2.94117647058824,8.7292817679558
"Zip","18229","PA","Allentown-Bethlehem-Easton, PA-NJ",10221,67,19.6261682242991,95.5,6.47058823529412,8.7292817679558
"Zip","18210","PA","Allentown-Bethlehem-Easton, PA-NJ",10436,67,17.0634920634921,98,4.70588235294118,8.7292817679558
"Zip","18088","PA","Allentown-Bethlehem-Easton, PA-NJ",10465,67,27.5,71.5,7.05882352941176,8.7292817679558
"Zip","07825","NJ","Allentown-Bethlehem-Easton, PA-NJ",10544,67,25.6198347107438,122,10,8.7292817679558
"Zip","07823","NJ","Allentown-Bethlehem-Easton, PA-NJ",10591,67,20,101,7.35294117647059,8.7292817679558
"Zip","18034","PA","Allentown-Bethlehem-Easton, PA-NJ",10687,67,15.625,73,1.76470588235294,8.7292817679558
"Zip","18072","PA","Allentown-Bethlehem-Easton, PA-NJ",10842,67,28,77,9.70588235294118,8.7292817679558
"Zip","08886","NJ","Allentown-Bethlehem-Easton, PA-NJ",10910,67,16.1290322580645,93,3.97058823529412,8.7292817679558
"Zip","79109","TX","Amarillo, TX",2734,181,27.1812080536913,69,7.27272727272727,9.10220994475138
"Zip","79106","TX","Amarillo, TX",5504,181,26.8456375838926,73.5,8.18181818181818,9.10220994475138
"Zip","79107","TX","Amarillo, TX",6284,181,15.0943396226415,107,5.45454545454545,9.10220994475138
"Zip","79118","TX","Amarillo, TX",7246,181,17.4468085106383,77,4.54545454545455,9.10220994475138
"Zip","79015","TX","Amarillo, TX",7582,181,20,72,2.72727272727273,9.10220994475138
"Zip","79119","TX","Amarillo, TX",8141,181,22.4561403508772,74,6.36363636363636,9.10220994475138
"Zip","79110","TX","Amarillo, TX",8430,181,16.6666666666667,63,1.81818181818182,9.10220994475138
"Zip","79108","TX","Amarillo, TX",9878,181,14.5833333333333,95,3.63636363636364,9.10220994475138
"Zip","79124","TX","Amarillo, TX",10214,181,21.6783216783217,99,9.09090909090909,9.10220994475138
"Zip","79102","TX","Amarillo, TX",10254,181,12.5,58,0.909090909090909,9.10220994475138
"Zip","79121","TX","Amarillo, TX",10827,181,24.6575342465753,81.5,10,9.10220994475138
"Zip","99504","AK","Anchorage, AK",4010,133,23.7654320987654,85,9.23076923076923,8.6878453038674
"Zip","99507","AK","Anchorage, AK",4610,133,23.9193083573487,68.5,3.84615384615385,8.6878453038674
"Zip","99508","AK","Anchorage, AK",5478,133,23.7113402061856,103,10,8.6878453038674
"Zip","99654","AK","Anchorage, AK",6319,133,17.9381443298969,83,3.07692307692308,8.6878453038674
"Zip","99645","AK","Anchorage, AK",6638,133,10.3202846975089,73,0.769230769230769,8.6878453038674
"Zip","99577","AK","Anchorage, AK",6857,133,17.7570093457944,77,2.30769230769231,8.6878453038674
"Zip","99502","AK","Anchorage, AK",7430,133,20.5,80,5.38461538461539,8.6878453038674
"Zip","99501","AK","Anchorage, AK",7978,133,13.5135135135135,121,6.92307692307692,8.6878453038674
"Zip","99515","AK","Anchorage, AK",8013,133,21.7391304347826,78.5,6.15384615384615,8.6878453038674
"Zip","99516","AK","Anchorage, AK",8598,133,18.2203389830508,67,1.53846153846154,8.6878453038674
"Zip","99517","AK","Anchorage, AK",8670,133,25.6880733944954,71,7.69230769230769,8.6878453038674
"Zip","99518","AK","Anchorage, AK",10173,133,23.7113402061856,76.5,4.61538461538461,8.6878453038674
"Zip","99567","AK","Anchorage, AK",10495,133,19.5876288659794,93,8.46153846153846,8.6878453038674
"Zip","48197","MI","Ann Arbor, MI",1717,148,17.1003717472119,52.5,4.16666666666667,2.04419889502762
"Zip","48103","MI","Ann Arbor, MI",2025,148,15.0127226463104,53,1.66666666666667,2.04419889502762
"Zip","48198","MI","Ann Arbor, MI",3563,148,14.8325358851675,51,0.833333333333333,2.04419889502762
"Zip","48104","MI","Ann Arbor, MI",3583,148,17.0212765957447,56,5.83333333333333,2.04419889502762
"Zip","48105","MI","Ann Arbor, MI",4101,148,16,56,2.5,2.04419889502762
"Zip","48108","MI","Ann Arbor, MI",6066,148,23.3082706766917,57,8.33333333333333,2.04419889502762
"Zip","48176","MI","Ann Arbor, MI",7670,148,14.1975308641975,60,4.16666666666667,2.04419889502762
"Zip","48130","MI","Ann Arbor, MI",9179,148,12.7167630057803,61,4.16666666666667,2.04419889502762
"Zip","48189","MI","Ann Arbor, MI",9339,148,17.5257731958763,59.5,6.66666666666667,2.04419889502762
"Zip","48118","MI","Ann Arbor, MI",9393,148,16.1016949152542,67.5,7.5,2.04419889502762
"Zip","48160","MI","Ann Arbor, MI",9770,148,20.4819277108434,67,9.16666666666667,2.04419889502762
"Zip","48158","MI","Ann Arbor, MI",10712,148,20.8333333333333,76,10,2.04419889502762
"Zip","28806","NC","Asheville, NC",3091,118,19.3661971830986,58,3.2,6.79558011049724
"Zip","28803","NC","Asheville, NC",4129,118,23.1231231231231,64.5,6.8,6.79558011049724
"Zip","28792","NC","Asheville, NC",4570,118,14.2156862745098,59,1.2,6.79558011049724
"Zip","28715","NC","Asheville, NC",5862,118,18.0790960451977,67.5,4.8,6.79558011049724
"Zip","28786","NC","Asheville, NC",6530,118,11.6,94,4,6.79558011049724
"Zip","28804","NC","Asheville, NC",6729,118,26.1904761904762,73,8,6.79558011049724
"Zip","28787","NC","Asheville, NC",6744,118,20.9580838323353,89,8.4,6.79558011049724
"Zip","28704","NC","Asheville, NC",6809,118,18.6440677966102,71.5,6.4,6.79558011049724
"Zip","28739","NC","Asheville, NC",7134,118,13.5646687697161,77,2.4,6.79558011049724
"Zip","28805","NC","Asheville, NC",7552,118,33.3333333333333,74,9.2,6.79558011049724
"Zip","28716","NC","Asheville, NC",8029,118,16,78,5.6,6.79558011049724
"Zip","28732","NC","Asheville, NC",8088,118,14.375,56,0.8,6.79558011049724
"Zip","28801","NC","Asheville, NC",8377,118,14.1732283464567,71,1.6,6.79558011049724
"Zip","28711","NC","Asheville, NC",8785,118,22.6027397260274,81,8.8,6.79558011049724
"Zip","28791","NC","Asheville, NC",8989,118,17.6470588235294,62,2,6.79558011049724
"Zip","28748","NC","Asheville, NC",9381,118,22.7848101265823,103.5,10,6.79558011049724
"Zip","28753","NC","Asheville, NC",9535,118,16.9230769230769,91,7.2,6.79558011049724
"Zip","28721","NC","Asheville, NC",9714,118,14.2857142857143,86,5.2,6.79558011049724
"Zip","28778","NC","Asheville, NC",9942,118,18.1818181818182,63,3.6,6.79558011049724
"Zip","28731","NC","Asheville, NC",10070,118,12.0879120879121,64,0.4,6.79558011049724
"Zip","28730","NC","Asheville, NC",10085,118,21.4285714285714,91,9.6,6.79558011049724
"Zip","28754","NC","Asheville, NC",10380,118,12.5,107,6,6.79558011049724
"Zip","28785","NC","Asheville, NC",10398,118,14.5695364238411,104,7.6,6.79558011049724
"Zip","28759","NC","Asheville, NC",10688,118,17.5,63,2.8,6.79558011049724
"Zip","28751","NC","Asheville, NC",10916,118,12.6436781609195,91,4.4,6.79558011049724
"Zip","30606","GA","Athens-Clarke County, GA",2809,220,12.2866894197952,70,8,0.580110497237569
"Zip","30605","GA","Athens-Clarke County, GA",3272,220,9.20245398773006,55.5,1,0.580110497237569
"Zip","30601","GA","Athens-Clarke County, GA",6919,220,12.9032258064516,66,4,0.580110497237569
"Zip","30677","GA","Athens-Clarke County, GA",8222,220,11.377245508982,73.5,6.5,0.580110497237569
"Zip","30607","GA","Athens-Clarke County, GA",10305,220,13.1147540983607,61,2.5,0.580110497237569
"Zip","30622","GA","Athens-Clarke County, GA",10306,220,9.27835051546392,70.5,2.5,0.580110497237569
"Zip","30633","GA","Athens-Clarke County, GA",10524,220,15.1515151515152,56,5,0.580110497237569
"Zip","30683","GA","Athens-Clarke County, GA",10707,220,20.9302325581395,67,10,0.580110497237569
"Zip","30628","GA","Athens-Clarke County, GA",10853,220,14.5161290322581,65,6.5,0.580110497237569
"Zip","30621","GA","Athens-Clarke County, GA",11075,220,11.6279069767442,76,9,0.580110497237569
"Zip","30349","GA","Atlanta-Sandy Springs-Roswell, GA",1460,9,9.38775510204082,78.5,4.41558441558442,2.5207182320442
"Zip","30044","GA","Atlanta-Sandy Springs-Roswell, GA",1553,9,14.4654088050314,52,1.55844155844156,2.5207182320442
"Zip","30043","GA","Atlanta-Sandy Springs-Roswell, GA",1570,9,18.0743243243243,50,2.72727272727273,2.5207182320442
"Zip","30096","GA","Atlanta-Sandy Springs-Roswell, GA",1637,9,16.7701863354037,52,2.20779220779221,2.5207182320442
"Zip","30024","GA","Atlanta-Sandy Springs-Roswell, GA",1688,9,22.0125786163522,56,7.5974025974026,2.5207182320442
"Zip","30281","GA","Atlanta-Sandy Springs-Roswell, GA",1768,9,10.3448275862069,57,1.49350649350649,2.5207182320442
"Zip","30040","GA","Atlanta-Sandy Springs-Roswell, GA",1893,9,17.2496984318456,60,5.84415584415584,2.5207182320442
"Zip","30188","GA","Atlanta-Sandy Springs-Roswell, GA",1923,9,15.045871559633,50,1.23376623376623,2.5207182320442
"Zip","30318","GA","Atlanta-Sandy Springs-Roswell, GA",1963,9,16.5158371040724,48.5,1.62337662337662,2.5207182320442
"Zip","30080","GA","Atlanta-Sandy Springs-Roswell, GA",1991,9,20.1312910284464,56,6.62337662337662,2.5207182320442
"Zip","30052","GA","Atlanta-Sandy Springs-Roswell, GA",2004,9,16.1858974358974,63,5.38961038961039,2.5207182320442
"Zip","30041","GA","Atlanta-Sandy Springs-Roswell, GA",2005,9,20.5246913580247,62,8.83116883116883,2.5207182320442
"Zip","30062","GA","Atlanta-Sandy Springs-Roswell, GA",2020,9,23.4913793103448,56,7.92207792207792,2.5207182320442
"Zip","30331","GA","Atlanta-Sandy Springs-Roswell, GA",2029,9,13.8888888888889,75,6.81818181818182,2.5207182320442
"Zip","30022","GA","Atlanta-Sandy Springs-Roswell, GA",2092,9,19.1146881287726,57,7.07792207792208,2.5207182320442
"Zip","30004","GA","Atlanta-Sandy Springs-Roswell, GA",2148,9,18.562874251497,57,6.55844155844156,2.5207182320442
"Zip","30127","GA","Atlanta-Sandy Springs-Roswell, GA",2150,9,15.3498871331828,56,2.95454545454545,2.5207182320442
"Zip","30135","GA","Atlanta-Sandy Springs-Roswell, GA",2212,9,13.3962264150943,64,4.22077922077922,2.5207182320442
"Zip","30253","GA","Atlanta-Sandy Springs-Roswell, GA",2319,9,8.56102003642987,77.5,3.83116883116883,2.5207182320442
"Zip","30263","GA","Atlanta-Sandy Springs-Roswell, GA",2372,9,13.0260521042084,66,4.35064935064935,2.5207182320442
"Zip","30066","GA","Atlanta-Sandy Springs-Roswell, GA",2394,9,25.1207729468599,52,6.94805194805195,2.5207182320442
"Zip","30101","GA","Atlanta-Sandy Springs-Roswell, GA",2464,9,20.9109730848861,48,3.8961038961039,2.5207182320442
