"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"85304","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Glendale",4781,1294,-0.000772200772200772,-0.00154320987654321,-0.0069071373752878,8932
2018-09-30,"97015","OR","Portland-Vancouver-Hillsboro","Clackamas","Clackamas",4782,2097,-0.000952834683182468,-0.00190385530699667,0.0130434782608696,5212
2018-09-30,"28112","NC","Charlotte-Concord-Gastonia","Union","Monroe",4783,1244,0.00080450522928399,0.0024174053182917,0.0272502064409579,9238
2018-09-30,"57105","SD","Sioux Falls","Minnehaha","Sioux Falls",4784,1129,-0.0017683465959328,-0.00440917107583774,-0.0122484689413823,8201
2018-09-30,"94589","CA","Vallejo-Fairfield","Solano","Vallejo",4785,2008,-0.00149179512680259,-0.00248385494287134,0.0297435897435897,8306
2018-09-30,"77414","TX","Bay City","Matagorda","Bay City",4786,1340,0,0.000746825989544436,-0.0014903129657228,8050
2018-09-30,"95405","CA","Santa Rosa","Sonoma","Santa Rosa",4787,2827,0.0024822695035461,0.00856225472707813,0.0651846269781462,6794
2018-09-30,"70127","LA","New Orleans-Metairie","Orleans","New Orleans",4788,1187,-0.00168208578637511,-0.00502933780385583,-0.102118003025719,5187
2018-09-30,"11542","NY","New York-Newark-Jersey City","Nassau","Glen Cove",4789,3108,-0.000643086816720257,-0.0032071840923669,-0.0226415094339623,5530
2018-09-30,"30297","GA","Atlanta-Sandy Springs-Roswell","Clayton","Forest Park",4790,841,0,0.00119047619047619,0.0281173594132029,7541
2018-09-30,"92301","CA","Riverside-San Bernardino-Ontario","San Bernardino","Adelanto",4791,1284,0,0.00390930414386239,0.036319612590799,7496
2018-09-30,"66223","KS","Kansas City","Johnson","Overland Park",4792,2145,0,0.000466417910447761,-0.0372531418312388,5191
2018-09-30,"99709","AK","Fairbanks","Fairbanks North Star","Fairbanks",4793,1666,-0.00119904076738609,-0.004778972520908,-0.0825991189427313,5539
2018-09-30,"54501","WI",,"Oneida","Rhinelander",4794,979,-0.00305498981670061,-0.00910931174089069,-0.0239282153539382,6053
2018-09-30,"01854","MA","Boston-Cambridge-Newton","Middlesex","Lowell",4795,2033,0.0029600394671929,0.00793257312840853,-0.0286669851887243,4201
2018-09-30,"08060","NJ","Philadelphia-Camden-Wilmington","Burlington","Mt Holly",4796,1748,0,0,0.00865551067512983,8242
2018-09-30,"20853","MD","Washington-Arlington-Alexandria","Montgomery","Olney",4797,2340,0,0,-0.0342550557160545,9433
2018-09-30,"47331","IN","Connersville","Fayette","Connersville",4798,696,-0.00143472022955524,-0.00571428571428571,-0.0781456953642384,7784
2018-09-30,"85085","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",4799,1979,0.00253292806484296,0.0112416964741952,0.0185280494081318,6249
2018-09-30,"98188","WA","Seattle-Tacoma-Bellevue","King","Seatac",4800,1970,0.00203458799593082,0.00510204081632653,0.00664282064384262,5428
2018-09-30,"06114","CT","Hartford-West Hartford-East Hartford","Hartford","Hartford",4801,1400,0.000714796283059328,0.000714796283059328,0.0233918128654971,2340
2018-09-30,"47803","IN","Terre Haute","Vigo","Terre Haute",4802,771,-0.00129533678756477,-0.00387596899224806,-0.108670520231214,7473
2018-09-30,"37615","TN","Johnson City","Washington","Johnson City",4803,1099,-0.000909090909090909,-0.000909090909090909,-0.000909090909090909,9530
2018-09-30,"02134","MA","Boston-Cambridge-Newton","Suffolk","Boston",4804,2575,0.00272585669781931,0.00901253918495298,0.0358004827031376,2352
2018-09-30,"54301","WI","Green Bay","Brown","Allouez",4805,1007,0,0.0120603015075377,-0.060634328358209,7919
2018-09-30,"27260","NC","Greensboro-High Point","Guilford","High Point",4806,694,0,0,-0.0280112044817927,8708
2018-09-30,"70124","LA","New Orleans-Metairie","Orleans","New Orleans",4807,1939,0,-0.00103039670273055,-0.101066295781178,6531
