"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"06119","West Hartford","CT","Hartford-West Hartford-East Hartford","Hartford County",472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1400,1500,1500,1487.5,1600,1525,1450,1492.5,1400,1450,1400,1400,1400,1398,1398,1450,1485,1525,1499,1499
"10538","Larchmont","NY","New York-Newark-Jersey City","Westchester County",473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1850,1975,2081,2081,2081,2100,1987.5,1825,1800,1724.5,1925,1905,2062.5,2200,2175
"11370","New York","NY","New York-Newark-Jersey City","Queens County",474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2200,2175,2150,2100,2000,2000,2050,2200,2172.5,2150,2200,2100,1999,2000,2150,2000,2100,2150,2095,2225,2000
"11356","New York","NY","New York-Newark-Jersey City","Queens County",475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2200,2100,2050,2000,2100,2200,2200,2200,2200,2300,2300,2300,2200,2100,2195,2200,2200,2200,2200,2225,2225,2300,2300
"33305","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1450,1590,1600,1700,1580,1450,1500,1450,1287.5,1325,1300,1400,1375,1450,1450,1460,1575,1450,1390,1462.5,1410
"14222","Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1325,1300,1295,1200,1200,1150,1150,1195,1100,1150,1200,1250,1250,1300,1300,1250,1250,1262.5,1200
"33315","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584.5,1400,1400,1400,1400,1400,1400,1450,1500,1600,1525,1500,1600,1600,1700,1675,1500
"10018","New York","NY","New York-Newark-Jersey City","New York County",479,,,,,,,,,,,,,,,,,,3225,3292,3250,3290,3297.5,3295,3369,3355,3397,3323,3250,3295,3300,3330,3320,3395,3380,3392,3400,3360,3300,3300,3300,3300,3300,3325,3400,3465,3460,3490,3495,3482.5,3495,3490,3551,3700,3650,3620,3595,3595,3670,3640,3620,3577.5,3500,3445,3430,3420,3495,3420,3600,3450,3495,3495,3495,3475,3500,3595,3495,3470,3495,3400,3395,3386,3422.5,3695,3672.5,3667,3592.5,3595,3485,3500,3595,3495,3497.5,3650,3700.5,3755,3700,3773
"15203","Pittsburgh","PA","Pittsburgh","Allegheny County",480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1400,1422.5,1445,1400,1372.5,1499,1450,1347.5,1325,1320,1200,1275,1350,1399.5,1375,1400,1350,1312.5,1325,1295,1325
"10005","New York","NY","New York-Newark-Jersey City","New York County",481,,,,,,,,,,,,,,3300,3250,3295,3436,3395,3364,3430.5,3500,3500,3450,3400,3500,3433,3348,3350,3297.5,3216,3250,3215.5,3240,3277,3295,3400,3495,3405,3465,3400,3395,3395,3395,3350,3500,3525,3395,3499.5,3494,3500,3550,3425,3500,3595,3895,3495,3550,3418,3395,3440,3385,3397.5,3300,3273.5,3275,3350,3460,3375,3504.5,3370,3414.5,3382.5,3484.5,3365,3269,3250,3300,3321.5,3345,3563,3620,3785,3700,3595,3692.5,3429,3570,3500,3570,3495,3550,3600,3595,3700,3695,3641,3595
