"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-10-31,"77459","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Missouri City",145,1802,0.00166759310728182,-0.000554631170271769,-0.0248917748917749,22569
2018-10-31,"33024","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Pembroke Pines",146,1800,0.00166944908180301,0.00111234705228031,0.00671140939597316,25540
2018-10-31,"91709","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Chino Hills",147,3077,-0.00485122897800776,-0.00709906421426266,0.00522704998366547,21205
2018-10-31,"43123","OH","Columbus","Franklin County","Grove City",148,1386,0.000722021660649819,0.00144508670520231,-0.00431034482758621,21877
2018-10-31,"20906","MD","Washington-Arlington-Alexandria","Montgomery County","Silver Spring",149,1955,0.00462487153134635,0.00462487153134635,-0.00962512664640324,22463
2018-10-31,"90066","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",150,4218,0.00118680275338239,-0.000947418285172904,-0.0144859813084112,13004
2018-10-31,"78577","TX","McAllen-Edinburg-Mission","Hidalgo County","Pharr",151,889,0.00565610859728507,0.00451977401129944,-0.0133185349611543,16099
2018-10-31,"98012","WA","Seattle-Tacoma-Bellevue","Snohomish County","Bothell",152,2300,0.002615518744551,0.00174216027874564,-0.0372540812055253,20473
2018-10-31,"76028","TX","Dallas-Fort Worth-Arlington","Johnson County","Burleson",153,1552,0.00193673337637185,-0.000643915003219575,-0.0195830701200253,21510
2018-10-31,"14850","NY","Ithaca","Tompkins County","Ithaca",154,1889,-0.000529100529100529,-0.000529100529100529,0.0654258319232938,12458
2018-10-31,"34787","FL","Orlando-Kissimmee-Sanford","Orange County","Winter Garden",155,1684,0.00297796307325789,0.00357568533969011,0.0175226586102719,17511
2018-10-31,"33908","FL","Cape Coral-Fort Myers","Lee County","Fort Myers",156,1869,0.00160771704180064,-0.00479233226837061,0.0866279069767442,23214
2018-10-31,"02148","MA","Boston-Cambridge-Newton","Middlesex County","Malden",157,2150,0.00326644890340644,0.00139729855612483,-0.0676496097137901,13808
2018-10-31,"65807","MO","Springfield","Greene County","Springfield",158,828,0.00363636363636364,0.00485436893203883,0.0134638922888617,16903
2018-10-31,"33647","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County","Tampa",159,1701,0.00294811320754717,0.00235710076605775,-0.0144843568945539,21093
2018-10-31,"76063","TX","Dallas-Fort Worth-Arlington","Tarrant County","Mansfield",160,1814,0.0011037527593819,-0.00274876305662452,-0.0371549893842887,18962
2018-10-31,"44256","OH","Cleveland-Elyria","Medina County","Medina",161,1488,0.00337154416722859,-0.000671591672263264,-0.0887936313533374,21336
2018-10-31,"11373","NY","New York-Newark-Jersey City","Queens County","New York",162,2208,0.00226963231956423,0.00363636363636364,-0.0204081632653061,12665
2018-10-31,"79938","TX","El Paso","El Paso County","El Paso",163,1095,0.000914076782449726,0.000914076782449726,-0.00635208711433757,20679
2018-10-31,"60620","IL","Chicago-Naperville-Elgin","Cook County","Chicago",164,1388,0.00144300144300144,-0.000719942404607631,0.0146198830409357,16391
