"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01230","Great Barrington","MA","Pittsfield, MA, MA","Pittsfield, MA",,5.24701302188213,66.67,,,374300,0.160556596200161,16.0260384376937,-0.00735506278386322,,0.0503067484662577,0.024390243902439,160.5
"Zip","01235","Hinsdale","MA","Pittsfield, MA, MA","Pittsfield, MA",,2.82319774466371,100,,,203800,-0.0980392156862745,6.64573521716379,0.0246319921491658,,0.0802752293577982,0,87
"Zip","01238","Lee","MA","Pittsfield, MA, MA","Pittsfield, MA",,2.00429587864143,100,,,244000,0.328947368421053,5.30858869227449,0.0336434426229508,,0.0882852292020373,0.0384615384615385,87
"Zip","01240","Lenox","MA","Pittsfield, MA, MA","Pittsfield, MA",,1.94925493354813,83.33,,,328200,-0.605693519079346,5.6324428709366,0.0199360146252285,,0.0536672629695886,0,87
"Zip","01247","North Adams","MA","Pittsfield, MA, MA","Pittsfield, MA",,0.265136259900658,50,,,135400,0.073909830007391,6.1128526645768,0.035901033973412,,0.120051085568327,0.0425531914893617,78
"Zip","01254","Richmond","MA","Pittsfield, MA, MA","Pittsfield, MA",,5.13156128339374,100,,,371600,-0.561948086700562,13.2581530021335,0.0378363832077502,,0.0597826086956522,0,87
"Zip","01255","Sandisfield","MA","Pittsfield, MA, MA","Pittsfield, MA",,1.52436568666935,100,,,254200,-0.157109190887667,2.91497975708502,0.029468922108576,,0.0972222222222222,0,87
"Zip","01257","Sheffield","MA","Pittsfield, MA, MA","Pittsfield, MA",,4.12538595784669,100,,,286600,-0.589663544918488,14.8697394789579,-0.00175157013258898,,0.0532544378698225,0,87
"Zip","01262","Stockbridge","MA","Pittsfield, MA, MA","Pittsfield, MA",,1.41696872063364,100,,,402400,-1.00861008610086,3.10017934921855,0.0136158051689861,,0.0703125,0,87
"Zip","01266","West Stockbridge","MA","Pittsfield, MA, MA","Pittsfield, MA",,2.16136394146865,75,,,409500,0.146735143066764,3.77597567156614,0.0398559218559218,,0.0692307692307692,0,87
"Zip","01267","Williamstown","MA","Pittsfield, MA, MA","Pittsfield, MA",,5.7960800107397,100,,,287900,0.418555981862574,13.7495061240616,0.0322646752344564,,0.0689238210399033,0.0175438596491228,87
"Zip","01270","Windsor","MA","Pittsfield, MA, MA","Pittsfield, MA",,3.88374278426634,,,,210400,0.525561395126612,20.0913242009132,-0.0254372623574145,,0.142857142857143,0,87
"Zip","01301","Greenfield","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,3.43468922002953,100,,,188700,-0.105876124933827,-1.92307692307692,0.195824059353471,,0.0382728164867517,0.0769230769230769,81.5
"Zip","01330","Ashfield","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,6.0249697946033,100,,,262200,0.19105846388995,0.459770114942529,0.14419527078566,,0.0441988950276243,0,84
"Zip","01331","Athol","MA","Worcester, MA, MA","Worcester, MA",,0.0644381796214257,87.5,0.1034,2.37,,,,,,0.109013685700802,0.181818181818182,78
"Zip","01337","Bernardston","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,2.58289703315881,100,,,218200,-0.365296803652968,-1.62308385933273,0.175847846012832,,0.0374331550802139,0.0714285714285714,84
"Zip","01338","Buckland","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,6.23170895422204,100,,,221500,0.04516711833785,1.69880624426079,0.158505643340858,,0.0289855072463768,0,84
"Zip","01339","Charlemont","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,4.70264465028863,,,,190500,-0.78125,-2.4077868852459,0.186157480314961,,0.0392156862745098,0,84
"Zip","01340","Colrain","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,3.38703181635119,100,,,181600,-0.383982446516731,-4.26989984185556,0.199185022026432,,0.0817307692307692,0,84
"Zip","01341","Conway","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,4.76775406094778,100,,,281500,0.0710984713828653,-1.43557422969188,0.143492007104796,,0.0618181818181818,0,84
"Zip","01344","Erving","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,0.198684387166063,,,,183200,-0.217864923747277,-2.96610169491525,,,0.0597609561752988,0.0666666666666667,84
"Zip","01351","Montague","MA","Greenfield Town, MA, MA","Greenfield Town, MA",,1.4216673378977,66.67,,,235900,-0.25369978858351,-0.337980566117448,0.148639253921153,,0.0304878048780488,0.1,84
